Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,284.450012,290.500000,277.100006,287.750000,287.750000,9514178
2022-06-10,282.799988,285.350006,279.000000,280.100006,280.100006,7245446
2022-06-13,269.500000,275.500000,266.100006,266.200012,266.200012,11186749
2022-06-14,261.600006,279.500000,261.600006,266.649994,266.649994,16393298
2022-06-15,270.000000,275.700012,270.000000,272.049988,272.049988,7446565
2022-06-16,280.000000,282.549988,258.450012,259.299988,259.299988,11754891
2022-06-17,258.500000,267.799988,249.350006,261.299988,261.299988,16205333
2022-06-20,265.350006,266.799988,248.250000,248.250000,248.250000,7398184
2022-06-21,248.350006,258.649994,238.300003,254.050003,254.050003,17701689
2022-06-22,251.899994,253.000000,245.100006,247.300003,247.300003,7198933
2022-06-23,249.050003,258.700012,247.500000,252.600006,252.600006,8083950
2022-06-24,256.000000,265.200012,256.000000,264.450012,264.450012,9307365
2022-06-27,270.950012,277.649994,268.200012,272.899994,272.899994,12506733
2022-06-28,270.049988,274.799988,267.750000,270.250000,270.250000,7019512
2022-06-29,267.950012,274.399994,267.250000,270.049988,270.049988,5972377
2022-06-30,272.000000,275.649994,261.100006,262.850006,262.850006,5613740
2022-07-01,262.850006,264.899994,255.100006,263.250000,263.250000,4812767
2022-07-04,263.899994,266.500000,261.000000,261.700012,261.700012,3109382
2022-07-05,263.399994,269.399994,262.000000,262.750000,262.750000,3432267
2022-07-06,264.100006,265.549988,260.000000,262.700012,262.700012,3036307
2022-07-07,265.500000,275.799988,265.049988,275.600006,275.600006,11528099
2022-07-08,277.899994,278.600006,269.000000,271.549988,271.549988,7078212
2022-07-11,270.000000,285.100006,269.250000,285.100006,285.100006,14086766
2022-07-12,286.799988,299.350006,286.049988,292.750000,292.750000,22402570
2022-07-13,298.399994,299.600006,285.000000,286.649994,286.649994,8566423
2022-07-14,288.000000,289.799988,277.000000,283.700012,283.700012,6997656
2022-07-15,286.000000,287.950012,283.250000,286.750000,286.750000,4462588
2022-07-18,289.399994,294.450012,286.799988,289.850006,289.850006,5250758
2022-07-19,286.950012,294.850006,285.250000,293.350006,293.350006,6702529
2022-07-20,296.000000,296.799988,288.549988,289.899994,289.899994,4084090
2022-07-21,290.950012,295.000000,288.450012,294.000000,294.000000,5262525
