Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,53.000000,53.200001,52.500000,52.900002,52.818306,5608
2022-02-18,53.599998,53.599998,52.700001,53.099998,53.017994,7801
2022-02-21,53.500000,53.500000,53.000000,53.299999,53.217686,2302
2022-02-22,52.000000,52.700001,51.700001,51.799999,51.720001,30669
2022-02-23,52.200001,52.200001,51.200001,51.400002,51.320621,3454
2022-02-24,50.099998,50.099998,47.200001,47.799999,47.726177,8381
2022-02-25,49.500000,51.000000,49.500000,50.500000,50.422009,11002
2022-02-28,49.299999,49.299999,48.200001,48.599998,48.524944,14645
2022-03-01,49.000000,49.000000,47.299999,47.299999,47.226952,4786
2022-03-02,48.400002,50.299999,48.049999,50.200001,50.122475,42939
2022-03-03,49.000000,49.200001,48.700001,48.750000,48.674713,7535
2022-03-04,47.900002,47.900002,45.349998,45.349998,45.279961,30866
2022-03-07,43.750000,43.849998,41.700001,41.900002,41.835293,12347
2022-03-08,41.799999,44.049999,41.500000,43.000000,42.933594,10490
2022-03-09,43.299999,44.750000,43.299999,44.250000,44.181664,16674
2022-03-10,45.849998,45.849998,44.950001,45.400002,45.329887,11429
2022-03-11,45.500000,46.599998,44.731899,46.599998,46.528030,138871
2022-03-14,46.599998,47.299999,46.099998,46.700001,46.627880,12109
2022-03-15,46.250000,46.500000,45.549999,45.750000,45.679344,27742
2022-03-16,47.049999,48.750000,46.849998,48.000000,47.925873,64039
2022-03-17,48.900002,49.400002,48.500000,49.400002,49.323711,5926
2022-03-18,49.250000,49.500000,48.299999,49.500000,49.423553,1806
2022-03-21,48.250000,48.349998,47.700001,48.099998,48.025715,1931
2022-03-22,48.000000,48.700001,47.900002,48.700001,48.624790,1705
2022-03-23,48.200001,48.200001,47.099998,47.549999,47.476566,9845
2022-03-24,47.900002,48.000000,47.098301,48.000000,47.925873,4565
2022-03-25,48.000000,48.000000,48.000000,48.000000,47.925873,0
2022-03-28,48.099998,48.799999,47.799999,48.799999,48.724636,1756
2022-03-29,48.900002,50.000000,47.849998,48.849998,48.774555,12129
2022-03-30,49.250000,49.549999,48.900002,49.250000,49.173939,20917
2022-03-31,49.700001,50.200001,49.049999,49.799999,49.723091,25664
2022-04-01,50.099998,50.700001,50.000000,50.599998,50.521854,10209
2022-04-04,51.200001,52.200001,51.200001,51.900002,51.819851,7140
2022-04-05,52.099998,52.799999,51.799999,51.799999,51.720001,13064
2022-04-06,51.200001,53.900002,50.788200,51.500000,51.420467,87434
2022-04-07,52.400002,52.400002,51.500000,51.500000,51.420467,2292
2022-04-08,52.200001,52.799999,52.000000,52.099998,52.019539,20099
2022-04-11,51.799999,52.099998,51.099998,51.099998,51.021080,28624
2022-04-12,51.500000,52.700001,51.500000,52.200001,52.119385,28711
2022-04-13,51.700001,52.299999,51.000000,51.500000,51.420467,12117
2022-04-14,51.900002,51.900002,50.799999,51.299999,51.220776,9500
2022-04-19,52.700001,52.900002,51.000000,51.599998,51.520309,13484
2022-04-20,51.799999,52.099998,51.299999,51.599998,51.520309,18027
2022-04-21,51.700001,52.700001,51.700001,52.700001,52.618614,14663
2022-04-22,51.500000,51.500000,50.400002,50.400002,50.322166,893
2022-04-25,50.599998,51.200001,50.200001,50.200001,50.122475,14046
2022-04-26,51.099998,51.500000,49.700001,49.849998,49.773014,5887
2022-04-27,49.150002,49.799999,49.150002,49.500000,49.423553,7925
2022-04-28,49.599998,50.799999,48.900002,49.549999,49.473476,4448
2022-04-29,48.500000,48.500000,47.150002,47.500000,47.426643,20842
2022-05-03,47.150002,47.750000,47.150002,47.299999,47.226952,4044
2022-05-04,46.900002,49.000000,46.299999,47.500000,47.426643,36643
2022-05-05,47.200001,47.450001,45.299999,45.650002,45.579502,14804
2022-05-06,43.950001,45.000000,43.099998,43.400002,43.332977,97460
2022-05-09,43.200001,43.250000,42.200001,42.500000,42.434364,5322
2022-05-10,43.000000,43.049999,41.950001,42.000000,41.935139,7161
2022-05-11,42.650002,43.400002,42.250000,43.150002,43.083363,21211
2022-05-12,42.000000,42.299999,41.382801,42.299999,42.234673,125107
2022-05-13,42.000000,42.000000,40.299999,41.150002,41.086452,6104
2022-05-16,41.250000,41.349998,40.799999,41.099998,41.036526,7870
2022-05-17,42.000000,42.121101,41.349998,41.849998,41.785366,43556
2022-05-18,42.200001,42.349998,41.700001,41.849998,41.785366,9196
2022-05-19,41.799999,41.900002,41.500000,41.900002,41.835293,9959
2022-05-20,42.799999,43.150002,42.299999,42.400002,42.334522,6081
2022-05-23,43.549999,43.750000,42.849998,43.049999,42.983513,4640
2022-05-24,43.049999,43.250000,42.450001,42.549999,42.484287,7414
2022-05-25,42.750000,42.900002,42.549999,42.750000,42.683979,4282
2022-05-26,43.099998,44.299999,43.099998,44.299999,44.231583,12536
2022-05-27,43.900002,44.549999,43.900002,44.549999,44.481197,6963
2022-05-30,44.200001,44.400002,44.200001,44.200001,44.131741,6665
2022-05-31,44.000000,44.000000,44.000000,44.000000,43.932049,6566
2022-06-01,44.150002,44.500000,43.750000,44.349998,44.281506,10540
2022-06-06,43.400002,43.700001,43.299999,43.599998,43.532665,10685
2022-06-07,42.700001,42.799999,42.400002,42.799999,42.733902,1024
2022-06-08,43.000000,43.049999,42.060101,43.000000,42.933594,9704
2022-06-09,42.250000,42.299999,42.099998,42.150002,42.084908,916
2022-06-10,42.349998,42.900002,41.900002,41.900002,41.835293,4011
2022-06-13,41.450001,41.849998,41.049999,41.150002,41.086452,7363
2022-06-14,41.650002,41.971298,41.599998,41.650002,41.585678,11839
2022-06-15,41.750000,44.549999,41.650002,42.500000,42.434364,10948
2022-06-16,41.500000,41.500000,41.000000,41.200001,41.136372,20612
2022-06-17,41.000000,41.000000,40.150002,40.349998,40.287685,22378
2022-06-20,40.549999,40.549999,39.849998,40.000000,39.938225,2911
2022-06-21,40.549999,41.000000,40.299999,40.700001,40.637146,27347
2022-06-22,40.000000,40.049999,39.650002,39.900002,39.838383,4327
2022-06-23,39.500000,40.049999,39.500000,40.049999,39.988148,248
2022-06-24,40.700001,40.950001,40.650002,40.650002,40.587223,20768
2022-06-27,40.599998,40.650002,40.400002,40.650002,40.587223,247
2022-06-28,40.549999,40.650002,40.099998,40.099998,40.038071,19280
2022-06-29,40.099998,40.099998,39.049999,39.299999,39.239307,6086
2022-06-30,40.099998,40.451698,39.799999,40.200001,40.137917,41975
2022-07-01,40.200001,40.799999,40.200001,40.799999,40.736988,4864
2022-07-04,41.000000,41.500000,40.750000,41.349998,41.286140,4643
2022-07-05,41.349998,41.450001,40.500000,40.750000,40.687069,17834
2022-07-06,41.099998,41.700001,40.950001,41.500000,41.500000,5395
2022-07-07,41.700001,42.299999,41.349998,42.299999,42.299999,3713
2022-07-08,42.299999,42.549999,41.983299,42.549999,42.549999,5781
2022-07-11,42.299999,42.750000,42.299999,42.700001,42.700001,9367
2022-07-12,42.700001,42.799999,42.150002,42.549999,42.549999,2804
